
[17:38:33]root|sayonara
[17:38:44]root|@root&nbsp;hello???
[17:40:39]root|@root&nbsp;fuck&nbsp;you!
[17:41:19]root|@root&nbsp;???
[17:41:47]root|<a href="javascript:;" onclick="at(this)" class="at">root</a>???
[17:42:08]root|fuck&nbsp;yoiu&gt;&gt;&gt;<a href="javascript:;" onclick="at(this)" class="at">iaufw</a>&nbsp;
[17:42:20]root|<a href="javascript:;" onclick="at(this)" class="at">root</a>&nbsp;<a href="javascript:;" onclick="at(this)" class="at">root</a>&nbsp;<a href="javascript:;" onclick="at(this)" class="at">root</a>&nbsp;<a href="javascript:;" onclick="at(this)" class="at">root</a>&nbsp;<a href="javascript:;" onclick="at(this)" class="at">root</a>&nbsp;I&nbsp;love&nbsp;you!
[17:43:48]root|<pre><code>.replace(/[&lt;&gt;&quot;&amp; ]/g, function (c) {<br>		return {'&lt;':'&amp;lt;','&gt;':'&amp;gt;','&quot;':'&amp;quot;','&amp;':'&amp;amp;',' ':'&amp;nbsp;'}[c];<br>	})</code></pre>
[19:18:54]root|<img src="https://swwind.github.io/img.sgr.png">
[19:19:13]root|<img src="https://swwind.github.io/img/sgr.png">
[19:23:19]root|<a href="javascript:;" onclick="at(this)" class="at">root</a>&nbsp;I&nbsp;love&nbsp;you!
[19:23:41]root|<a href="https://swwind.github.io/" target="view_window"><a href="javascript:;" onclick="at(this)" class="at">root</a>&nbsp;</a>
