
[18:58:27]root|<p>afw</p>
[19:09:12]root|<blockquote><p>this???</p></blockquote>
[19:09:32]root|<pre><code class="lang-cpp">Hello world!</code></pre>
[19:09:54]root|<pre><code class="lang-cpp">eaiwfjaoifgwaiawjogia</code></pre>
[19:13:44]root|<pre><code class="lang-cpp">wfjahiwu<br>waguawh<br>cwaihcaw<br>wiajfoa<br></code></pre><br>
[19:14:15]root|<p>@hell ow</p><br>
[19:14:25]root|<p>@hell ow</p><br>
[19:15:07]root|<p><a href="javascript:;" onclick="at(this)" class="at">hfiauw</a>&nbsp;wfawfa</p><br>
[19:16:14]root|<p><a href="javascript:;" onclick="at(this)" class="at">jnwoiafuwa</a>&nbsp;wfauwfh</p>
[19:16:35]root|<p><a href="javascript:;" onclick="at(this)" class="at">jnwoiafuwa</a>&nbsp;This is my <code>lone</code> way.</p>
[19:21:29]root|<h1 id="h1">h1</h1><h2 id="h2">h2</h2><h3 id="h3">h3</h3><h4 id="h4">h4</h4>
[19:25:58]root|<p>????????????????????????????????????</p>
[19:26:10]root|<p>uvwaigvwa<br>gawifuoaiwjcoiwac<br>awciawhofuiwahofwafcvawpivfjawoicvaw<br>vawvjoawijfva</p>
[19:26:30]root|<pre><code class="lang-cpp">This is a veryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryvery long word<br></code></pre>
[19:27:05]root|<pre><code class="lang-cpp">This is a veryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryveryvery long word<br></code></pre><blockquote><p>沙比提 - zyy</p></blockquote>
[19:27:45]root|<ul><li>tit1</li><li>tit2</li><li>tit3</li><li>tit4</li></ul>
[19:28:03]root|<ol><li>wafhwua</li><li>fawihvuasc</li><li>fwhaiuchaiw</li><li>ckwaovu</li></ol>
[19:28:42]root|<p>Markdown supposed.</p>
[19:29:24]root|<p><a href="/">fwagwa</a></p>
[19:31:27]root|<p>I&#39;m so alone.<br>Nothing feels like home.<br>I&#39;m so alone.<br>Try to find my way back home to you.</p>
[19:31:34]root|<blockquote><p>I&#39;m so alone.<br>Nothing feels like home.<br>I&#39;m so alone.<br>Try to find my way back home to you.</p></blockquote>
[19:33:12]root|<blockquote><p>this ??? _fwajf_</p></blockquote>
[19:33:23]root|<p>This ???Ｉ　ｌｏｖｅ　ｙｏｕ</p>
[19:33:39]root|<h1 id="-thwuah-"><a href="/">thwuah</a></h1>
[19:35:24]root|<h1 id="-this">@this</h1>
[19:35:48]root|<p><a href="javascript:;" onclick="at(this)" class="at">uwaif</a>&nbsp;wa</p>
[19:37:40]root|<p>_wfafawgwaga_</p>
[19:37:46]root|<p><em>wgawgawhgawva</em></p>
[19:40:37]root|<p>$Hello world$</p>
[19:54:40]root|<p>However, MathJax does not supported.</p>
[20:01:35]root|<p>Hefaouwfhowaf</p>
[20:20:04]root|<pre><code class="lang-cpp">&lt;!-- hello --&gt;<br></code></pre>
[20:20:46]root|<pre><code>&lt;/&gt;&lt;?&gt;<br></code></pre>
[20:20:58]root|<p>&lt;=</p>
[20:21:03]root|<p><code>&lt;=</code></p>
[20:23:01]root|<pre><code class="lang-javascript">var calc = function (str) {<br>    str = marked(str).replace(/&gt;\s+&lt;/g, &#39;&gt;&lt;&#39;).replace(/\n/g, &#39;&lt;br&gt;&#39;).replace(/@\w+ /g, function (a) {<br>        var name = a.substr(1, a.length-2);<br>        return &#39;&lt;a href=&quot;javascript:;&quot; onclick=&quot;at(this)&quot; class=&quot;at&quot;&gt;&#39;+name+&#39;&lt;/a&gt;&amp;nbsp;&#39;;<br>    }).replace(/(&lt;br&gt;)+$/g, &#39;&#39;).replace(/&lt;script.*&gt;.*&lt;\/script&gt;/g, &#39;&#39;);<br>    return str;<br>}<br>var send = function (str) {<br>    var names = $(&#39;#onamae&#39;).html();<br>    var msgs = typeof str === &#39;string&#39; ? str : calc($(&#39;#msg&#39;).val());<br>    $(&#39;#msg&#39;).val(&#39;&#39;);<br>    $.post(&quot;/send.php&quot;, {<br>        name: names, msg: msgs<br>    })<br>    return false;<br>}<br>var at = function (a) {<br>    var last = $(&#39;#msg&#39;).val();<br>    $(&#39;#msg&#39;).val(&#39;@&#39;+$(a).html()+&#39; &#39;+last);<br>}<br>var code_submit = function () {<br>    var code = $(&#39;#code-in&#39;).val();<br>    if(code === &#39;&#39;) return alert(&#39;Enter your code!&#39;);<br>    $(&#39;.send-code-dlg&#39;).fadeOut(200);<br>    send(&#39;&lt;pre&gt;&lt;code&gt;&#39;+code.replace(/[&lt;&gt;&quot;&amp;\n]/g, function (c) {<br>        return {&#39;&lt;&#39;:&#39;&amp;lt;&#39;,&#39;&gt;&#39;:&#39;&amp;gt;&#39;,&#39;&quot;&#39;:&#39;&amp;quot;&#39;,&#39;&amp;&#39;:&#39;&amp;amp;&#39;,&#39;\n&#39;:&#39;&lt;br&gt;&#39;}[c];<br>    })+&#39;&lt;/code&gt;&lt;/pre&gt;&#39;);<br>}<br>var len = 1;<br>$(document).ready(function () {<br>    setInterval(function () {<br>        $.post(&quot;/gets.php&quot;, {}, function (ans) {<br>            if(typeof ans !== &#39;string&#39;)<br>                return alert(&#39;Something wrong...&#39;);<br>            var kkk = ans.split(&#39;\n&#39;);<br>            if(kkk == null) return;<br>            while(len &lt; kkk.length){<br>                var szb = kkk[len++];<br>                var newdiv = $(&#39;&lt;div/&gt;&#39;).addClass(&#39;s&#39;);<br>                var time = szb.match(/^\[\d+:\d+:\d+\]/)[0];<br>                newdiv.append($(&#39;&lt;span/&gt;&#39;).html(time))<br>                var nm = szb.match(/\]\w+/)[0].substr(1);<br>                var zyy = $(&#39;&lt;a href=&quot;javascript:;&quot; onclick=&quot;at(this)&quot;&gt;&lt;/a&gt;&#39;).addClass(&#39;at&#39;).html(nm);<br>                newdiv.append(zyy);<br>                var ctc = szb.substr(szb.indexOf(&#39;|&#39;)+1);<br>                newdiv.append($(&#39;&lt;div/&gt;&#39;).addClass(&#39;init&#39;).html(ctc));<br>                $(&#39;#fuck_zyy&#39;).append(newdiv);<br>                document.body.scrollTop = document.body.scrollHeight;<br>            }<br>        })<br>    }, 1000);<br>    $(&#39;#send-code&#39;).click(function () {<br>        $(&#39;.send-code-dlg&#39;).fadeIn(500)<br>    })<br>    $(&#39;#send-pictrue&#39;).click(function () {<br>        alert(&#39;现在你可以用![alt](link)发送网络上的图片，本地图片还在开发中。。&#39;)<br>    })<br>    $(&#39;#notice&#39;).click(function () {<br>        $(&#39;.notice&#39;).fadeIn(500)<br>    })<br>})<br></code></pre>
[20:31:59]SW_Wind|<p><code>$$</code></p>
