
[17:47:12]SW_Wind|<p>???</p>
[17:49:40]SW_Wind|<p>她趴在桌上问我:喂班上有你喜欢的人吗？我看了她一眼淡淡的说:有啊。她心里一阵失落但还是装作无所谓的问道:谁啊？你猜。她把全班其他女生都猜完了我却都摇头。我轻笑摸她头：傻瓜，你确定都猜完了吗？她听后愣了一会，害羞的转过头没再说话。这时我温柔的伏在她耳边轻声说道:还有男生的名字你没猜</p>
[17:55:07]SW_Wind|<p><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""></p>
[17:56:46]SW_Wind|<blockquote><p>Hello???</p></blockquote>
[18:03:51]SW_Wind|<p>Oh???</p>
[18:04:21]SW_Wind|<pre><code class="lang-cpp">cout &lt;&lt; &quot;Hello world&quot; &lt;&lt; endl;<br></code></pre>
[18:05:18]SW_Wind|<h1 id="oh-that-s-good-">Oh, that&#39;s good.</h1>
[18:24:32]SW_Wind|<h1 id="-hello-world"><a href="javascript:;" onclick="at(this)" class="at">hello</a>&nbsp;world</h1>
[18:25:42]SW_Wind|<p><a href="javasc**pt:;" onclick="at(this)" class="at">hello</a>&nbsp;Do you want to eat me?</p>
[19:09:41]root|<p><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""></p>
[19:09:55]root|<p><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""><img src="/img/huaji.png" alt=""></p>
